date,close
2014052521,6
2014052609,6
2014052618,5
2014052620,4
2014052622,5
2014052707,7
2014052709,7
2014052713,7
2014052720,6
2014052722,7
2014052808,6
2014052809,6
2014052810,5
2014052814,5
2014052908,5
2014052910,5
2014052914,8
2014052919,6
2014052922,6
2014053008,6
2014053009,7
2014053014,8
2014053110,9
2014053112,6
2014053113,5
2014053115,6
2014053117,5
2014053124,5
2014060113,5
2014060118,7
2014060209,6
2014060213,5
2014060215,6
2014060222,6
2014060309,5
2014060310,5
2014060314,4
2014060316,4
2014060317,3
2014060319,4
2014060418,4
2014060419,4
2014060421,5
2014060508,6
2014060510,5
2014060517,5
2014060600,5
2014060610,5
2014060612,4
2014060622,4
2014060720,4
2014060813,4
2014060823,3
2014060909,6
2014060920,3
2014060922,7
2014061007,7
2014061008,3
2014061010,5
2014061013,6
2014061019,6
2014061021,4
2014061022,4
2014061109,5
2014061122,8
2014061210,4
2014061219,3
2014061308,4
2014061309,6
2014061310,5
2014061311,3
2014061312,2
2014061314,4
2014061320,4
2014061323,7
2014061413,9
2014061420,7
2014061423,6
2014061509,5
2014061517,4
2014061522,6
2014061609,5
2014061609,6
2014061611,4
2014061619,4
2014061621,4
2014061809,3
2014061810,3
2014061814,2
2014061815,1
2014061816,1
2014061909,3
2014061922,7
2014062009,7
2014062014,3
2014062015,1
2014062020,1
2014062022,8
2014062110,6
2014062114,6
2014062115,5
2014062118,2
2014062222,7
2014062310,7
2014062314,9
2014062316,6
2014062408,6
2014062409,6
2014062415,7
2014062418,5
2014062509,6
2014062513,5
2014062514,4
2014062515,5
2014062516,5
2014062608,6
2014062609,5
2014062614,4
2014062619,3
2014062709,8
2014062710,4
2014062712,7
2014062719,7
2014062720,5
2014062817,7
2014062818,4
